Category,Score,Item,Calories,Protein,Dietary Fiber,Sugars,Water,Sodium,Saturated Fat
Vegetables and Vegetable Products,24,Poi,112,0.38,0.4,0.39,71.64,12,0.029
Fruits and Fruit Juices,24,"Cherries, sour, red, canned, heavy syrup pack, solids and liquids",91,0.73,1.1,22.17,75.66,7,0.021
Fruits and Fruit Juices,24,"Jackfruit, raw",95,1.72,1.5,19.08,73.46,2,0.195
Fruits and Fruit Juices,24,"Strawberries, canned, heavy syrup pack, solids and liquids",92,0.56,1.7,21.83,75.35,4,0.014
Fruits and Fruit Juices,24,"Blackberries, canned, heavy syrup, solids and liquids",92,1.31,3.4,19.7,75.06,3,0.005
Fruits and Fruit Juices,23,"Raspberries, canned, red, heavy syrup pack, solids and liquids",91,0.83,3.3,20.06,75.33,3,0.005
Vegetables and Vegetable Products,23,"Sweet potato, frozen, cooked, baked, without salt",100,1.71,1.8,9.17,73.7,8,0.025
Vegetables and Vegetable Products,23,"Chard, swiss, cooked, boiled, drained, without salt",20,1.88,2.1,1.1,92.65,179,0.012
Vegetables and Vegetable Products,23,"Beans, snap, green variety, canned, regular pack, solids and liquids",15,0.72,1.5,1.25,95.06,192,0.04
Vegetables and Vegetable Products,23,"Waterchestnuts, chinese, (matai), raw",97,1.4,3,4.8,73.46,14,0.026
Fruits and Fruit Juices,23,"Cherries, sweet, frozen, sweetened",89,1.15,2.1,20.26,75.53,1,0.03
Vegetables and Vegetable Products,22,"Corn, sweet, white, cooked, boiled, drained, without salt",97,3.34,2.7,7.73,72.84,3,0.197
Fruits and Fruit Juices,22,"Blueberries, canned, heavy syrup, solids and liquids",88,0.65,1.6,20.46,76.78,3,0.027
Fruits and Fruit Juices,22,"Figs, canned, heavy syrup pack, solids and liquids",88,0.38,2.2,20.7,76.33,1,0.02
Fruits and Fruit Juices,22,"Blueberries, canned, light syrup, drained",88,1.04,2.6,17.45,75.72,3,0.028
Vegetables and Vegetable Products,22,"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without salt",97,3.17,5,3.23,75.48,4,0.096
Vegetables and Vegetable Products,22,"Corn, sweet, yellow, frozen, kernels on cob, unprepared",98,3.28,2.8,3.78,71.79,5,0.12
Fruits and Fruit Juices,22,"Apricots, dried, sulfured, stewed, without added sugar",85,1.2,2.6,19.57,75.56,4,0.006
Vegetables and Vegetable Products,22,"Potatoes, Russet, flesh and skin, baked",97,2.63,2.3,1.08,74.45,14,0.034
Vegetables and Vegetable Products,22,"Beets, canned, regular pack, solids and liquids",30,0.73,1.2,6.53,91.3,143,0.013
Fruits and Fruit Juices,22,"Pineapple, frozen, chunks, sweetened",86,0.4,1.1,21.1,77.1,2,0.007
